1; 23.10.2022 20:55:21; 

Задание; Ошибки; Время; Ошибки; Время
1. Предметы; 22; 00:00:09; 22; 00:00:07
2. Процессы; 28; 00:00:08; 28; 00:00:08
3. Системы; 24; 00:00:09; 24; 00:00:07
4. Вещества; 18; 00:00:07; 18; 00:00:07
5. Классы; 42; 00:00:08; 42; 00:00:08
6. Пасьянс; 42; 00:00:08; 39; 00:00:08
7. Реакции; 20; 00:00:09; 20; 00:00:08
8. Окислители; 29; 00:00:09; 29; 00:00:09
9. Структуры; 18; 00:00:08; 18; 00:00:07
10. Изомеры; 15; 00:00:12; 15; 00:00:07
11. Обратимость; 20; 00:00:08; 20; 00:00:07
12. Смещение равновесия; 38; 00:00:09; 38; 00:00:09
13. Цвета индикатора; 21; 00:00:08; 21; 00:00:08

Задание; Время; Ответ
14. Стёкла; 00:00:02; 123
15. Магнат; 00:00:01; 123

Арифметический субтест; Верно; Время
16.1. Молекулярная масса; Нет; 00:00:02
16.2. Плотность; Нет; 00:00:01
16.3. Масса; Нет; 00:00:01
16.4. Объём; Нет; 00:00:01
16.5. Массовая доля; Нет; 00:00:01
16.6. Масса растворённого; Нет; 00:00:01
16.7. Масса раствора; Нет; 00:00:01
16.8. Слили растворы...; Нет; 00:00:01
16.9. Приготовление раствора; Нет; 00:00:02
16.10. Объём газа; Нет; 00:00:01
16.11. Соотношение объёмов; Нет; 00:00:02
16.12. Примеси; Нет; 00:00:01
16.13. Выход; Нет; 00:00:02
16.14. Формула; Нет; 00:00:01
16.15. Кинетика; Нет; 00:00:01
16.16. Система; Нет; 00:00:01
